formula_pretty,number,band_gap,cbm,source,note
Fe3O4,227,1.2587,,auto_ml_correction_v1,auto ekleme; mp=mp-19306; raw_bg=0.0000; pred_bg=1.2587; conf=0.830; gate_relaxed=False
Fe5SnO8,166,1.0133,,auto_ml_correction_v1,auto ekleme; mp=mp-690495; raw_bg=0.0000; pred_bg=1.0133; conf=0.803; gate_relaxed=False
FeHO2,62,1.2851,0.1449,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-625275; score=2.508
FeO,12,1.0337,,auto_ml_correction_v1,auto ekleme; mp=mp-1178232; raw_bg=0.0000; pred_bg=1.0337; conf=0.815; gate_relaxed=False
FeO,139,1.498,,auto_ml_correction_v1,auto ekleme; mp=mp-715262; raw_bg=0.0000; pred_bg=1.4980; conf=0.817; gate_relaxed=False
FeOF,14,0.6729,,auto_ml_correction_v1,auto ekleme; mp=mp-759543; raw_bg=0.0000; pred_bg=0.6729; conf=0.869; gate_relaxed=False
FeOF,84,1.5198,,auto_ml_correction_v1,auto ekleme; mp=mp-1178215; raw_bg=0.0000; pred_bg=1.5198; conf=0.889; gate_relaxed=False
FeOF,92,1.9482,,auto_ml_correction_v1,auto ekleme; mp=mp-675006; raw_bg=0.0000; pred_bg=1.9482; conf=0.889; gate_relaxed=False
Ge,227,0.67,,experimental_literature,Diamond-Ge icin oda sicakliginda tipik dolayli band araligi.
HgTe,216,0.0,,experimental_literature,HgTe yarimetal/ters bant yapisi nedeniyle efektif band araligi 0 eV civari kabul edildi.
HoCoO3,62,0.162,1.6791,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-1188609; score=2.280
HoFe4(CuO4)3,204,0.9804,,auto_ml_correction_v1,auto ekleme; mp=mp-1106004; raw_bg=0.0000; pred_bg=0.9804; conf=0.849; gate_relaxed=True
K(CoO2)2,59,0.2643,2.3055,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-752629; score=3.020
K3FeO4,62,0.2433,0.6144,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-28696; score=2.680
K3Mn4O8,1,0.4875,2.7449,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-1003764; score=3.020
KMn2O4,2,0.4357,2.2457,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-1003314; score=3.020
KMn2O4,11,0.3196,2.1864,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-763541; score=3.020
La2Cu2O5,84,1.3636,,auto_ml_correction_v1,auto ekleme; mp=mp-1147637; raw_bg=0.0000; pred_bg=1.3636; conf=0.829; gate_relaxed=True
La3Co2CuO9,165,1.1161,,auto_ml_correction_v1,auto ekleme; mp=mp-1223344; raw_bg=0.0450; pred_bg=1.1161; conf=0.842; gate_relaxed=True
La3Cu4(P2O)2,139,0.6189,,auto_ml_correction_v1,auto ekleme; mp=mp-6309; raw_bg=0.0000; pred_bg=0.6189; conf=0.776; gate_relaxed=True
La6Cu6O17,149,0.7816,,auto_ml_correction_v1,auto ekleme; mp=mp-766360; raw_bg=0.0000; pred_bg=0.7816; conf=0.835; gate_relaxed=True
LaCuO3,167,0.6994,,auto_ml_correction_v1,auto ekleme; mp=mp-3474; raw_bg=0.0000; pred_bg=0.6994; conf=0.797; gate_relaxed=True
LaFe4(CuO4)3,204,0.8268,,auto_ml_correction_v1,auto ekleme; mp=mp-1105546; raw_bg=0.0000; pred_bg=0.8268; conf=0.869; gate_relaxed=True
LaMnSbO,129,0.7544,,auto_ml_correction_v1,auto ekleme; mp=mp-18745; raw_bg=0.0000; pred_bg=0.7544; conf=0.763; gate_relaxed=True
Li(CoO2)2,10,0.7914,,auto_ml_correction_v1,auto ekleme; mp=mp-552024; raw_bg=0.0000; pred_bg=0.7914; conf=0.764; gate_relaxed=True
Li(CoO2)2,59,1.1388,,auto_ml_correction_v1,auto ekleme; mp=mp-755386; raw_bg=0.0000; pred_bg=1.1388; conf=0.764; gate_relaxed=True
Li(CoO2)3,12,1.0587,,auto_ml_correction_v1,auto ekleme; mp=mp-752635; raw_bg=0.0000; pred_bg=1.0587; conf=0.789; gate_relaxed=False
Li2Fe3CoO8,96,0.9655,,auto_ml_correction_v1,auto ekleme; mp=mp-762142; raw_bg=0.0000; pred_bg=0.9655; conf=0.761; gate_relaxed=False
Li2Fe3CoO8,166,0.7718,,auto_ml_correction_v1,auto ekleme; mp=mp-756157; raw_bg=0.0000; pred_bg=0.7718; conf=0.763; gate_relaxed=False
Li2FeCo3O8,5,1.1093,,auto_ml_correction_v1,auto ekleme; mp=mp-1177976; raw_bg=0.0000; pred_bg=1.1093; conf=0.757; gate_relaxed=False
Li2TiV3O8,2,1.5181,,auto_ml_correction_v1,auto ekleme; mp=mp-1313908; raw_bg=0.0000; pred_bg=1.5181; conf=0.762; gate_relaxed=False
Li2TiV3O8,13,1.3477,,auto_ml_correction_v1,auto ekleme; mp=mp-1302186; raw_bg=0.0000; pred_bg=1.3477; conf=0.755; gate_relaxed=False
Li2TiV3O8,166,1.3958,,auto_ml_correction_v1,auto ekleme; mp=mp-755975; raw_bg=0.0064; pred_bg=1.3958; conf=0.754; gate_relaxed=False
Li2V3CuO8,19,0.8608,,auto_ml_correction_v1,auto ekleme; mp=mp-773650; raw_bg=0.0000; pred_bg=0.8608; conf=0.823; gate_relaxed=False
Li2V5O12,60,1.43,,auto_ml_correction_v1,auto ekleme; mp=mp-776130; raw_bg=0.0000; pred_bg=1.4300; conf=0.756; gate_relaxed=False
Li2V6O15,12,1.1332,,auto_ml_correction_v1,auto ekleme; mp=mp-27751; raw_bg=0.0000; pred_bg=1.1332; conf=0.780; gate_relaxed=False
Li2VCo3O8,166,0.747,,auto_ml_correction_v1,auto ekleme; mp=mp-754294; raw_bg=0.0000; pred_bg=0.7470; conf=0.759; gate_relaxed=False
Li3Cr(FeO2)4,12,1.0271,,auto_ml_correction_v1,auto ekleme; mp=mp-754129; raw_bg=0.0000; pred_bg=1.0271; conf=0.751; gate_relaxed=False
Li3CrH12(CO3)6,2,2.9113,,auto_ml_correction_v1,auto ekleme; mp=mp-774905; raw_bg=0.0000; pred_bg=2.9113; conf=0.785; gate_relaxed=False
Li3Fe4CoO8,12,1.6429,,auto_ml_correction_v1,auto ekleme; mp=mp-756592; raw_bg=0.0000; pred_bg=1.6429; conf=0.760; gate_relaxed=False
Li5Fe11O16,1,1.4581,,auto_ml_correction_v1,auto ekleme; mp=mp-762692; raw_bg=0.0000; pred_bg=1.4581; conf=0.793; gate_relaxed=False
LiV2O4,227,1.1587,,auto_ml_correction_v1,auto ekleme; mp=mp-19394; raw_bg=0.0000; pred_bg=1.1587; conf=0.756; gate_relaxed=False
LiV3O4,12,0.9913,,auto_ml_correction_v1,auto ekleme; mp=mp-1274433; raw_bg=0.0166; pred_bg=0.9913; conf=0.778; gate_relaxed=False
LiV3O4,139,0.7065,,auto_ml_correction_v1,auto ekleme; mp=mp-1222538; raw_bg=0.0000; pred_bg=0.7065; conf=0.780; gate_relaxed=False
LiVO2,13,1.5454,,auto_ml_correction_v1,auto ekleme; mp=mp-1276026; raw_bg=0.0165; pred_bg=1.5454; conf=0.769; gate_relaxed=False
LiVO2,141,1.2339,,auto_ml_correction_v1,auto ekleme; mp=mp-1283531; raw_bg=0.0000; pred_bg=1.2339; conf=0.758; gate_relaxed=False
LiVO2,166,1.6143,,auto_ml_correction_v1,auto ekleme; mp=mp-19340; raw_bg=0.0000; pred_bg=1.6143; conf=0.756; gate_relaxed=False
LiVO2,186,1.5266,,auto_ml_correction_v1,auto ekleme; mp=mp-1176519; raw_bg=0.0000; pred_bg=1.5266; conf=0.767; gate_relaxed=False
Mn(CoO2)2,1,1.1973,,auto_ml_correction_v1,auto ekleme; mp=mp-767807; raw_bg=0.0000; pred_bg=1.1973; conf=0.763; gate_relaxed=False
Mn2CoO4,1,0.8674,,auto_ml_correction_v1,auto ekleme; mp=mp-766445; raw_bg=0.0000; pred_bg=0.8674; conf=0.787; gate_relaxed=False
Mn2CoO6,12,0.9226,,auto_ml_correction_v1,auto ekleme; mp=mp-761501; raw_bg=0.0000; pred_bg=0.9226; conf=0.755; gate_relaxed=False
Mn2CrO4,2,0.9996,,auto_ml_correction_v1,auto ekleme; mp=mp-765581; raw_bg=0.0000; pred_bg=0.9996; conf=0.783; gate_relaxed=False
Mn2FeO4,141,1.1234,,auto_ml_correction_v1,auto ekleme; mp=mp-754642; raw_bg=0.0000; pred_bg=1.1234; conf=0.805; gate_relaxed=False
Mn2O3,61,0.0721,3.5047,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-1172875; score=2.480
Mn2O3,206,0.7627,,auto_ml_correction_v1,auto ekleme; mp=mp-510604; raw_bg=0.0000; pred_bg=0.7627; conf=0.772; gate_relaxed=False
Mn2PO5,62,0.8776,2.9526,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-770538; score=3.016
Mn2V3NiO8,12,1.6621,,auto_ml_correction_v1,auto ekleme; mp=mp-1280544; raw_bg=0.0000; pred_bg=1.6621; conf=0.775; gate_relaxed=False
Mn2V3NiO8,166,1.599,,auto_ml_correction_v1,auto ekleme; mp=mp-1221946; raw_bg=0.0000; pred_bg=1.5990; conf=0.775; gate_relaxed=False
Mn2VO4,1,1.3692,,auto_ml_correction_v1,auto ekleme; mp=mp-531591; raw_bg=0.0000; pred_bg=1.3692; conf=0.817; gate_relaxed=False
Mn2VO4,8,0.6635,,auto_ml_correction_v1,auto ekleme; mp=mp-531351; raw_bg=0.0025; pred_bg=0.6635; conf=0.835; gate_relaxed=False
Mn3CoO8,166,0.8306,,auto_ml_correction_v1,auto ekleme; mp=mp-771970; raw_bg=0.0000; pred_bg=0.8306; conf=0.762; gate_relaxed=False
Mn3Cr3O8,166,0.661,,auto_ml_correction_v1,auto ekleme; mp=mp-1221796; raw_bg=0.0000; pred_bg=0.6610; conf=0.779; gate_relaxed=True
Mn4Cu3BiO12,204,0.7411,,auto_ml_correction_v1,auto ekleme; mp=mp-1210616; raw_bg=0.0000; pred_bg=0.7411; conf=0.803; gate_relaxed=True
Mn5V4O12,15,1.1633,,auto_ml_correction_v1,auto ekleme; mp=mp-1221657; raw_bg=0.0199; pred_bg=1.1633; conf=0.828; gate_relaxed=False
Mn6Cr9O20,166,0.618,,auto_ml_correction_v1,auto ekleme; mp=mp-757545; raw_bg=0.0000; pred_bg=0.6180; conf=0.766; gate_relaxed=True
Mn7V5O16,58,1.6974,,auto_ml_correction_v1,auto ekleme; mp=mp-531842; raw_bg=0.0000; pred_bg=1.6974; conf=0.827; gate_relaxed=False
MnAgO2,12,0.6102,,auto_ml_correction_v1,auto ekleme; mp=mp-996995; raw_bg=0.0000; pred_bg=0.6102; conf=0.763; gate_relaxed=False
MnAgO2,166,0.6348,,auto_ml_correction_v1,auto ekleme; mp=mp-997160; raw_bg=0.0000; pred_bg=0.6348; conf=0.755; gate_relaxed=True
MnAgO2,194,1.3299,,auto_ml_correction_v1,auto ekleme; mp=mp-997162; raw_bg=0.0000; pred_bg=1.3299; conf=0.757; gate_relaxed=False
MnAlP2(HO)15,2,4.2133,,auto_ml_correction_v1,auto ekleme; mp=mp-758995; raw_bg=0.0051; pred_bg=4.2133; conf=0.762; gate_relaxed=False
MnCo3O8,166,0.9619,,auto_ml_correction_v1,auto ekleme; mp=mp-773602; raw_bg=0.0000; pred_bg=0.9619; conf=0.769; gate_relaxed=False
MnCo5O12,12,0.9157,,auto_ml_correction_v1,auto ekleme; mp=mp-755620; raw_bg=0.0000; pred_bg=0.9157; conf=0.776; gate_relaxed=True
MnO2,62,1.0217,,auto_ml_correction_v1,auto ekleme; mp=mp-19326; raw_bg=0.0000; pred_bg=1.0217; conf=0.771; gate_relaxed=False
MnO2,136,1.0745,,auto_ml_correction_v1,auto ekleme; mp=mp-510408; raw_bg=0.0000; pred_bg=1.0745; conf=0.775; gate_relaxed=False
MoO2,58,1.6304,,auto_ml_correction_v1,auto ekleme; mp=mp-715550; raw_bg=0.0000; pred_bg=1.6304; conf=0.778; gate_relaxed=False
MoO2,136,0.8203,,auto_ml_correction_v1,auto ekleme; mp=mp-510536; raw_bg=0.0000; pred_bg=0.8203; conf=0.780; gate_relaxed=False
Na(CoO2)3,12,0.8506,1.5688,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-1276209; score=2.651
